Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 


3297 : 6594 -> 6594, collisions 8
3297 : 6594 -> 6594, collisions 2
3297 : 6594 -> 6594, collisions 4

3327 : 6654 -> 6654, collisions 0
3327 : 6654 -> 6654, collisions 0
3327 : 6654 -> 6654, collisions 0

3547 : 7094 -> 7094, collisions 6
3547 : 7094 -> 7094, collisions 0
3547 : 7094 -> 7094, collisions 4

3571 : 7142 -> 7142, collisions 0
3571 : 7142 -> 7142, collisions 0
3571 : 7142 -> 7142, collisions 0

3608 : 7216 -> 7216, collisions 0
3608 : 7216 -> 7216, collisions 2
3608 : 7216 -> 7216, collisions 0

3691 : 7382 -> 7382, collisions 0
3691 : 7382 -> 7382, collisions 0
3691 : 7382 -> 7382, collisions 0

3838 : 7676 -> 7676, collisions 4
3838 : 7676 -> 7676, collisions 2
3838 : 7676 -> 7676, collisions 4

3924 : 7848 -> 7848, collisions 0
3924 : 7848 -> 7848, collisions 2
3924 : 7848 -> 7848, collisions 0

3946 : 7892 -> 7892, collisions 0
3946 : 7892 -> 7892, collisions 0
3946 : 7892 -> 7892, collisions 0

3954 : 7908 -> 7908, collisions 0
3954 : 7908 -> 7908, collisions 0
3954 : 7908 -> 7908, collisions 0

4065 : 8130 -> 8130, collisions 0
4065 : 8130 -> 8130, collisions 0
4065 : 8130 -> 8130, collisions 0

4087 : 8174 -> 8174, collisions 26
4087 : 8174 -> 8174, collisions 0
4087 : 8174 -> 8174, collisions 0

4166 : 8332 -> 8332, collisions 12
4166 : 8332 -> 8332, collisions 12
4166 : 8332 -> 8332, collisions 4

4260 : 8520 -> 8520, collisions 0
4260 : 8520 -> 8520, collisions 0
4260 : 8520 -> 8520, collisions 0

4361 : 8722 -> 8722, collisions 2
4361 : 8722 -> 8722, collisions 0
4361 : 8722 -> 8722, collisions 0

4369 : 8738 -> 8738, collisions 10
4369 : 8738 -> 8738, collisions 24
4369 : 8738 -> 8738, collisions 10

4437 : 8874 -> 8874, collisions 0
4437 : 8874 -> 8874, collisions 0
4437 : 8874 -> 8874, collisions 0

4499 : 8998 -> 8998, collisions 10
4499 : 8998 -> 8998, collisions 8
4499 : 8998 -> 8998, collisions 24

4622 : 9244 -> 9244, collisions 4
4622 : 9244 -> 9244, collisions 8
4622 : 9244 -> 9244, collisions 6

4632 : 9264 -> 9264, collisions 2
4632 : 9264 -> 9264, collisions 4
4632 : 9264 -> 9264, collisions 8

4678 : 9356 -> 9356, collisions 0
4678 : 9356 -> 9356, collisions 0
4678 : 9356 -> 9356, collisions 0

4718 : 9436 -> 9436, collisions 0
4718 : 9436 -> 9436, collisions 0
